13:16:23, 200, {'Content-Type': 'text/html', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /Users/jonathan/Desktop/4131/derej009_hw4/static/audio/OuttaSpace.mp3
13:16:23, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
13:16:24, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
13:16:25, 200, {'Content-Type': 'text/html', 'Content-Length': 317, 'X-Content-Type-Options': 'nosniff'}, /static/html/OuttaSpace.html
13:16:25, 200, {'Content-Type': 'text/html', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /Users/jonathan/Desktop/4131/derej009_hw4/static/audio/OuttaSpace.mp3
13:16:25, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
13:16:26, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
13:19:23, 200, {'Content-Type': 'text/html', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
13:19:23, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
13:19:24, 200, {'Content-Type': 'text/html', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
13:19:24, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
13:20:55, 200, {'Content-Type': 'text/html', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
13:20:55, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:20:36, 200, {'Content-Type': 'text/html', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:20:36, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:20:36, 200, {'Content-Type': 'text/html', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:20:36, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:20:51, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:20:51, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:20:55, 307, {'Location': 'https://www.youtube.com/results?search_query='}, /redirect?query=discrete+math&site=youtube
14:20:58, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:21:01, 307, {'Location': 'https://www.youtube.com/results?search_query='}, /redirect?query=discrete+math&site=google
14:21:05, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:21:58, 200, {'Content-Type': 'text/plain', 'Content-Length': 3, 'X-Content-Type-Options': 'nosniff'}, /calculator?num1=2&operator=%2B&num2=2
14:21:58, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:22:01, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:22:03, 200, {'Content-Type': 'text/plain', 'Content-Length': 3, 'X-Content-Type-Options': 'nosniff'}, /calculator?num1=2&operator=%2B&num2=2
14:22:03, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:22:24, 200, {'Content-Type': 'text/plain', 'Content-Length': 3, 'X-Content-Type-Options': 'nosniff'}, /calculator?num1=2&operator=%2B&num2=2
14:22:24, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:22:25, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:22:51, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:22:51, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:23:20, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:23:21, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:23:21, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:23:33, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:23:42, 200, {'Content-Type': 'text/plain', 'Content-Length': 3, 'X-Content-Type-Options': 'nosniff'}, /calculator?num1=2&operator=*&num2=2
14:23:42, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:23:45, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:23:45, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:23:45, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:23:54, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:23:54, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:23:56, 200, {'Content-Type': 'text/plain', 'Content-Length': 5, 'X-Content-Type-Options': 'nosniff'}, /calculator?num1=2&operator=%2B&num2=2
14:23:56, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:24:01, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:24:04, 200, {'Content-Type': 'text/plain', 'Content-Length': 5, 'X-Content-Type-Options': 'nosniff'}, /calculator?num1=2&operator=*&num2=2
14:24:04, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:26:14, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:26:15, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:26:15, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:26:15, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:26:15, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:26:18, 200, {'Content-Type': 'text/plain', 'Content-Length': 34, 'X-Content-Type-Options': 'nosniff'}, /calculator?num1=2&operator=%2B&num2=2
14:26:18, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:28:47, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:28:47, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:28:47, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:28:47, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:28:47, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:28:49, 200, {'Content-Type': 'text/plain', 'Content-Length': 27, 'X-Content-Type-Options': 'nosniff'}, /calculator?num1=2&operator=%2B&num2=2
14:28:50, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:29:56, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:29:57, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:29:57, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:29:57, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:29:57, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:30:00, 200, {'Content-Type': 'text/plain', 'Content-Length': 27, 'X-Content-Type-Options': 'nosniff'}, /calculator?num1=2&operator=%2B&num2=2
14:30:00, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:36:22, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:36:25, 307, {'Location': 'https://www.youtube.com/results?search_query=math'}, /redirect?query=discrete+math&site=youtube
14:36:46, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:36:47, 200, {'Content-Type': 'text/html', 'Content-Length': 1809, 'X-Content-Type-Options': 'nosniff'}, /static/html/MyServer.html
14:36:47, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
14:36:50, 307, {'Location': 'https://www.google.com/search?q=math'}, /redirect?query=discrete+math&site=youtube
14:46:45, 200, {'Content-Type': 'text/html; charset=utf-8', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'}, /favicon.ico
